"Tópico","Informação"
"Tecnologia de Diagnóstico","Possuímos RX panorâmico próprio, permitindo diagnósticos precisos sem sair do consultório."
"Laboratório Próprio","Laboratório próprio de prótese, com produção e ajustes no local."
"Prótese Digital","Utilizamos tecnologia de prótese digital para maior precisão e conforto no resultado."
"Pagamento","Pagamento extremamente flexível. Aceitamos todas as formas de pagamento."
"Avaliação","Avaliação de cortesia, sem custo e sem compromisso. O paciente vem conversar com o dentista responsável e entender as opções."
"Especialidades","Ortodontia (Retirada de Aparelho), Odontopediatria, Implantes e Próteses, Clínica Geral, Endodontia, Periodontia, Extrações."
"Atendimento Infantil","Atendemos crianças a partir de 4 anos. Odontopediatria disponível no consultório."
"Funcionamento","Consultório atende somente às terças e quintas, das 08:00 às 17:00, com pausa para almoço das 12:00 às 13:00."
